,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
tau_sorted[0],1199.534,152.855,1046.678,1352.387,107.868,0.005,3.0,21.0,2.04
tau_sorted[1],1315.581,240.539,1075.039,1556.095,169.746,0.01,2.0,11.0,2.5
tau_sorted[2],1709.66,368.253,1341.421,2077.909,259.873,0.008,3.0,13.0,1.98
tau_sorted[3],2007.713,431.156,1576.661,2450.625,304.259,5.074,2.0,18.0,2.45
tau_sorted[4],2361.458,89.38,2272.019,2450.79,63.075,0.014,3.0,11.0,2.19
mu[0],4.291,0.191,4.1,4.482,0.134,0.0,2.0,14.0,2.74
mu[1],4.359,0.374,3.985,4.732,0.264,0.0,2.0,11.0,2.98
mu[2],4.015,0.183,3.826,4.198,0.129,0.001,3.0,21.0,2.23
mu[3],4.273,0.164,4.109,4.437,0.116,0.0,3.0,14.0,2.25
mu[4],4.66,0.3,4.36,4.96,0.211,0.0,3.0,12.0,1.96
mu[5],4.367,0.029,4.332,4.396,0.02,0.001,3.0,11.0,2.31
sigma[0],0.499,0.158,0.336,0.657,0.111,0.001,3.0,17.0,1.9
sigma[1],0.712,0.01,0.702,0.722,0.007,0.0,3.0,13.0,2.07
sigma[2],0.395,0.262,0.128,0.657,0.185,0.001,3.0,24.0,2.1
sigma[3],0.492,0.156,0.335,0.648,0.11,0.0,2.0,11.0,2.35
sigma[4],0.551,0.091,0.46,0.642,0.064,0.0,3.0,13.0,2.23
sigma[5],0.26,0.046,0.21,0.306,0.032,0.001,3.0,14.0,2.13
